index  confidence   rules
 185   1.000        [130.0, 195.0]=>[0.0]
 186   1.000        [195.0]=>[0.0, 130.0]
 187   1.000        [195.0, 100.0]=>[130.0]
 188   1.000        [130.0, 195.0]=>[100.0]
 189   1.000        [195.0]=>[130.0, 100.0]
 190   1.000        [0.0, 21.3]=>[130.0]
 191   1.000        [130.0, 21.3]=>[0.0]
 192   1.000        [0.0, 20.3]=>[130.0]
 193   1.000        [130.0, 20.3]=>[0.0]
 194   1.000        [0.0, 20.8]=>[130.0]
 195   1.000        [130.0, 20.8]=>[0.0]
 196   1.000        [100.0, 21.6]=>[140.0]
 197   1.000        [140.0, 21.6]=>[100.0]
 198   1.000        [100.0, 21.1]=>[140.0]
 199   1.000        [140.0, 21.1]=>[100.0]
 200   1.000        [195.0, 100.0]=>[140.0]
 201   1.000        [195.0, 140.0]=>[100.0]
 202   1.000        [195.0]=>[100.0, 140.0]
 203   1.000        [96.0, 0.0]=>[130.0]
 204   1.000        [96.0, 130.0]=>[0.0]
 205   1.000        [96.0]=>[0.0, 130.0]
 206   1.000        [100.0, 21.2]=>[140.0]
 207   1.000        [140.0, 21.2]=>[100.0]
 208   1.000        [0.0, 21.4]=>[130.0]
 209   1.000        [130.0, 21.4]=>[0.0]
 210   1.000        [0.0, 97.0]=>[140.0]
 211   1.000        [97.0, 140.0]=>[0.0]
 212   1.000        [97.0]=>[0.0, 140.0]
 213   1.000        [0.0, 21.3]=>[100.0]
 214   1.000        [100.0, 21.3]=>[0.0]
 215   1.000        [0.0, 21.6]=>[130.0]
 216   1.000        [130.0, 21.6]=>[0.0]
 217   1.000        [0.0, 21.1]=>[130.0]
 218   1.000        [130.0, 21.1]=>[0.0]
 219   1.000        [97.0, 140.0]=>[130.0]
 220   1.000        [97.0, 130.0]=>[140.0]
 221   1.000        [97.0]=>[130.0, 140.0]
 222   1.000        [100.0, 21.4]=>[140.0]
 223   1.000        [140.0, 21.4]=>[100.0]
 224   1.000        [140.0, 21.2]=>[130.0]
 225   1.000        [130.0, 21.2]=>[140.0]
 226   1.000        [96.0, 0.0]=>[100.0]
 227   1.000        [96.0, 100.0]=>[0.0]
 228   1.000        [96.0]=>[0.0, 100.0]
 229   1.000        [0.0, 21.4]=>[100.0]
 230   1.000        [100.0, 21.4]=>[0.0]
 231   1.000        [0.0, 21.0]=>[130.0]
 232   1.000        [130.0, 21.0]=>[0.0]
 233   1.000        [0.0, 20.6]=>[140.0]
 234   1.000        [140.0, 20.6]=>[0.0]
 235   1.000        [0.0, 21.6]=>[140.0]
 236   1.000        [140.0, 21.6]=>[0.0]
 237   1.000        [0.0, 21.1]=>[140.0]
 238   1.000        [140.0, 21.1]=>[0.0]
 239   1.000        [100.0, 20.6]=>[140.0]
 240   1.000        [140.0, 20.6]=>[100.0]
 241   1.000        [100.0, 20.5]=>[140.0]
 242   1.000        [140.0, 20.5]=>[100.0]
 243   1.000        [195.0, 140.0]=>[130.0]
 244   1.000        [130.0, 195.0]=>[140.0]
 245   1.000        [195.0]=>[130.0, 140.0]
 246   1.000        [0.0, 21.2]=>[140.0]
 247   1.000        [140.0, 21.2]=>[0.0]
 248   1.000        [0.0, 20.2]=>[130.0]
 249   1.000        [130.0, 20.2]=>[0.0]
 250   1.000        [0.0, 20.7]=>[130.0]
 251   1.000        [130.0, 20.7]=>[0.0]
 252   1.000        [96.0, 100.0]=>[130.0]
 253   1.000        [96.0, 130.0]=>[100.0]
 254   1.000        [96.0]=>[130.0, 100.0]
 255   1.000        [19.6, 100.0]=>[140.0]
 256   1.000        [19.6, 140.0]=>[100.0]
 257   1.000        [0.0, 20.4]=>[100.0]
 258   1.000        [100.0, 20.4]=>[0.0]
 259   1.000        [0.0, 20.9]=>[100.0]
 260   1.000        [100.0, 20.9]=>[0.0]
 261   1.000        [100.0, 21.3]=>[140.0]
 262   1.000        [140.0, 21.3]=>[100.0]
 263   1.000        [100.0, 20.5]=>[130.0]
 264   1.000        [130.0, 20.5]=>[100.0]
 265   1.000        [0.0, 140.0, 21.0]=>[130.0]
 266   1.000        [0.0, 130.0, 21.0]=>[140.0]
 267   1.000        [130.0, 140.0, 21.0]=>[0.0]
 268   1.000        [130.0, 21.0]=>[0.0, 140.0]
 269   1.000        [0.0, 21.0]=>[130.0, 140.0]
 270   1.000        [140.0, 21.0]=>[0.0, 130.0]
 271   1.000        [0.0, 100.0, 21.4]=>[140.0]
 272   1.000        [0.0, 140.0, 21.4]=>[100.0]
 273   1.000        [140.0, 100.0, 21.4]=>[0.0]
 274   1.000        [100.0, 21.4]=>[0.0, 140.0]
 275   1.000        [0.0, 21.4]=>[100.0, 140.0]
 276   1.000        [140.0, 21.4]=>[0.0, 100.0]
 277   1.000        [0.0, 100.0, 20.5]=>[140.0]
 278   1.000        [0.0, 140.0, 20.5]=>[100.0]
 279   1.000        [140.0, 100.0, 20.5]=>[0.0]
 280   1.000        [100.0, 20.5]=>[0.0, 140.0]
 281   1.000        [0.0, 20.5]=>[100.0, 140.0]
 282   1.000        [140.0, 20.5]=>[0.0, 100.0]
 283   1.000        [0.0, 100.0, 20.2]=>[130.0]
 284   1.000        [0.0, 130.0, 20.2]=>[100.0]
 285   1.000        [130.0, 100.0, 20.2]=>[0.0]
 286   1.000        [0.0, 20.2]=>[130.0, 100.0]
 287   1.000        [130.0, 20.2]=>[0.0, 100.0]
 288   1.000        [100.0, 20.2]=>[0.0, 130.0]
 289   1.000        [0.0, 100.0, 20.7]=>[130.0]
 290   1.000        [0.0, 130.0, 20.7]=>[100.0]
 291   1.000        [130.0, 100.0, 20.7]=>[0.0]
 292   1.000        [0.0, 20.7]=>[130.0, 100.0]
 293   1.000        [130.0, 20.7]=>[0.0, 100.0]
 294   1.000        [100.0, 20.7]=>[0.0, 130.0]
 295   1.000        [0.0, 19.6, 100.0]=>[130.0]
