id,tested_positive
187,78.08434
188,88.303085
189,66.01325
190,79.68388
191,85.688484
192,91.4219
193,59.957542
194,80.85723
195,74.30349
196,71.16667
197,65.227615
198,70.02832
199,84.54385
200,78.84392
201,74.38424
202,94.337494
203,68.5782
204,80.39375
205,73.578125
206,73.45152
207,73.19787
208,68.478516
209,81.930595
210,85.27526
211,73.355965
212,83.08759
213,69.95127
214,79.89193
215,79.8205
216,79.42335
217,85.02252
218,80.7759
219,72.69149
220,72.59737
221,78.18149
222,70.730446
223,79.20991
224,81.300255
225,79.38442
226,82.242195
227,76.939644
228,86.37451
229,86.34528
230,79.86166
231,75.34456
232,72.540054
233,71.34796
234,74.1567
235,65.01633
236,71.23677
237,84.43652
238,77.33992
239,76.42995
240,80.587074
241,87.82638
242,66.44599
243,75.3596
244,63.279373
245,84.816635
246,94.99113
247,91.05202
248,73.030754
249,78.56441
250,87.610985
251,83.447845
252,66.603836
253,83.25846
254,73.16131
255,69.382935
256,68.780136
257,68.08064
258,52.69475
259,58.14646
260,59.956684
261,66.69759
262,64.78317
263,76.62182
264,75.921455
265,67.083855
266,80.57323
267,77.99267
268,67.64778
269,74.980934
270,74.262115
271,64.60781
272,65.003876
273,73.74036
274,76.198784
275,78.01679
276,75.56502
277,48.41715
278,58.582165
279,59.89963
280,58.51284
281,61.42715
282,60.885437
283,63.348564
284,68.55108
285,74.74284
286,66.24202
287,49.40929
288,47.14406
289,67.88676
290,47.312473
291,58.21739
292,47.526043
293,46.108055
294,44.330853
295,55.316437
296,55.62575
297,48.06995
298,64.96165
299,49.66613
300,51.135796
301,40.34749
302,43.99571
303,47.196774
304,46.486137
305,41.33361
306,37.28958
307,55.724476
308,51.747894
309,58.764484
310,53.0988
311,52.14006
312,49.613804
313,54.871155
314,47.38268
315,56.74034
316,52.373997
317,50.707294
318,48.63704
319,40.166405
320,53.162052
321,50.200066
322,50.398632
323,52.66531
324,55.762173
325,47.835384
326,40.561333
327,46.0673
328,50.15996
329,47.60095
330,44.755993
331,47.81451
