0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.0,56.0,12.0,92.0,109.0,109.8,257.0,26.0,125.0,109.8,873.0,56.0,110.0,88.9
1.0,56.0,54.0,92.0,109.0,112.1,249.0,24.0,129.0,112.1,1287.0,56.0,109.0,88.9
1.0,56.0,21.0,92.0,109.0,110.8,245.0,24.0,114.0,110.8,1036.0,56.0,108.0,89.5
1.0,56.0,13.0,92.0,109.0,111.6,228.0,25.0,121.0,111.6,1032.0,56.0,108.0,89.4
1.0,56.0,55.0,92.0,109.0,111.0,69.0,24.0,116.0,111.0,1041.0,56.0,109.0,89.4
1.0,56.0,22.0,92.0,109.0,109.2,74.0,24.0,123.0,109.2,1021.0,56.0,108.0,89.5
1.0,56.0,14.0,92.0,109.0,110.7,223.0,25.0,115.0,110.7,948.0,56.0,108.0,89.4
1.0,56.0,56.0,92.0,109.0,108.5,60.0,24.0,98.0,108.5,958.0,56.0,109.0,89.4
1.0,56.0,23.0,92.0,109.0,110.4,242.0,25.0,114.0,110.4,399.0,56.0,108.0,90.7
1.0,56.0,15.0,92.0,109.0,110.3,241.0,24.0,120.0,110.3,838.0,56.0,108.0,89.7
1.0,56.0,24.0,92.0,109.0,111.6,237.0,25.0,114.0,111.6,614.0,56.0,108.0,90.7
1.0,56.0,16.0,92.0,109.0,109.1,241.0,24.0,113.0,109.1,419.0,56.0,107.0,89.7
1.0,56.0,25.0,92.0,109.0,112.4,234.0,25.0,121.0,112.4,1345.0,56.0,108.0,89.7
1.0,56.0,25.0,92.0,109.0,112.4,234.0,25.0,121.0,112.4,1345.0,56.0,108.0,91.2
1.0,56.0,17.0,92.0,109.0,112.2,236.0,25.0,96.0,112.2,522.0,56.0,109.0,88.4
1.0,56.0,26.0,92.0,109.0,111.4,229.0,25.0,118.0,111.4,948.0,56.0,108.0,88.4
1.0,56.0,26.0,92.0,109.0,111.4,229.0,25.0,118.0,111.4,948.0,56.0,108.0,91.2
1.0,56.0,18.0,92.0,109.0,113.2,241.0,24.0,121.0,113.2,985.0,56.0,108.0,88.4
1.0,56.0,27.0,92.0,109.0,111.3,216.0,24.0,122.0,111.3,1065.0,56.0,108.0,88.4
1.0,56.0,27.0,92.0,109.0,111.3,216.0,24.0,122.0,111.3,1065.0,56.0,108.0,91.0
1.0,56.0,19.0,92.0,109.0,109.3,64.0,24.0,101.0,109.3,982.0,56.0,108.0,89.0
1.0,56.0,28.0,92.0,109.0,109.0,213.0,24.0,117.0,109.0,970.0,56.0,109.0,89.0
1.0,56.0,28.0,92.0,109.0,109.0,213.0,24.0,117.0,109.0,970.0,56.0,109.0,91.0
1.0,56.0,20.0,92.0,109.0,110.2,247.0,24.0,113.0,110.2,935.0,56.0,108.0,89.0
1.0,56.0,29.0,92.0,109.0,109.5,236.0,24.0,136.0,109.5,1464.0,56.0,107.0,89.0
1.0,56.0,29.0,92.0,109.0,109.5,236.0,24.0,136.0,109.5,1464.0,56.0,107.0,92.1
1.0,56.0,21.0,92.0,109.0,111.4,59.0,24.0,109.0,111.4,959.0,56.0,108.0,90.4
