0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.0,66.0,53.0,85.0,100.0,105.3,35.0,34.0,97.0,105.3,127.0,66.0,100.0,55.1
3.0,66.0,54.0,85.0,100.0,105.1,33.0,35.0,99.0,105.1,138.0,66.0,100.0,55.1
3.0,58.0,50.0,85.0,100.0,102.9,34.0,35.0,92.0,102.9,126.0,58.0,100.0,54.4
3.0,66.0,55.0,85.0,100.0,106.4,35.0,35.0,97.0,106.4,127.0,66.0,100.0,54.4
3.0,66.0,56.0,85.0,100.0,106.8,35.0,35.0,99.0,106.8,132.0,66.0,100.0,54.4
3.0,58.0,51.0,85.0,100.0,102.9,34.0,35.0,91.0,102.9,132.0,58.0,99.0,55.6
3.0,66.0,57.0,85.0,100.0,106.0,33.0,35.0,100.0,106.0,130.0,66.0,100.0,55.2
3.0,58.0,52.0,85.0,100.0,105.4,35.0,35.0,97.0,105.4,123.0,58.0,98.0,55.6
3.0,66.0,58.0,85.0,100.0,106.7,34.0,35.0,99.0,106.7,133.0,66.0,99.0,55.2
3.0,58.0,53.0,85.0,100.0,104.6,33.0,35.0,100.0,104.6,124.0,58.0,100.0,54.2
3.0,66.0,59.0,85.0,100.0,107.0,34.0,35.0,99.0,107.0,132.0,66.0,99.0,54.2
3.0,58.0,54.0,85.0,100.0,105.9,36.0,35.0,99.0,105.9,126.0,58.0,99.0,54.2
3.0,66.0,60.0,85.0,100.0,105.1,31.0,35.0,98.0,105.1,131.0,66.0,99.0,54.2
3.0,58.0,55.0,85.0,100.0,106.9,36.0,35.0,99.0,106.9,124.0,58.0,100.0,57.9
3.0,66.0,61.0,85.0,100.0,105.2,33.0,35.0,99.0,105.2,134.0,66.0,99.0,53.4
3.0,58.0,56.0,85.0,100.0,106.2,34.0,35.0,100.0,106.2,124.0,58.0,100.0,57.9
3.0,58.0,57.0,85.0,100.0,105.9,36.0,35.0,97.0,105.9,133.0,58.0,100.0,56.2
3.0,66.0,62.0,85.0,100.0,105.2,34.0,34.0,96.0,105.2,137.0,66.0,100.0,53.4
