Col1,Col2
-0.07461789,0.5078646
-0.09589334,0.5056681
-0.119053245,0.50101733
-0.1425772,0.49532467
-0.16532499,0.4931384
-0.18865904,0.49062917
-0.2120252,0.48731276
-0.23486929,0.4833206
-0.25707674,0.4784847
-0.2754651,0.47263333
-0.29012817,0.46781534
-0.30429783,0.46235862
-0.3179217,0.45621526
-0.3329566,0.44748366
-0.34791675,0.4367998
-0.36204034,0.42543545
-0.37527817,0.41343227
-0.38711232,0.40091434
-0.39443678,0.3911602
-0.40114033,0.38073424
-0.40721962,0.3696599
-0.41263857,0.35796583
-0.4174227,0.3458731
-0.42216867,0.33321494
-0.42692798,0.32003236
-0.43079308,0.30721694
-0.4339046,0.29705602
-0.43662322,0.28666526
-0.4391016,0.27577752
