Col1,Col2
1.7116024,0.7808213
1.6991272,0.84189713
1.6891565,0.8909017
1.6784067,0.9391315
1.6660607,0.98619115
1.6521146,1.0321108
1.6364455,1.0767703
1.6189408,1.1200464
1.5995021,1.1618171
1.578049,1.2019643
1.5567336,1.236973
1.533665,1.270466
1.5088263,1.3023725
1.4815469,1.3337847
1.448576,1.3712541
1.4141808,1.4068488
1.3784044,1.440535
1.3413,1.4722921
1.3036013,1.5007747
1.2660155,1.5249207
1.2274342,1.5463277
1.1888094,1.5643407
1.1498253,1.5792972
1.109895,1.5925395
1.0691111,1.6041378
1.0275664,1.6141695
0.9833794,1.6230811
0.9385615,1.6304725
0.8932108,1.636449
0.8474197,1.6411195
0.7965743,1.6448832
0.747238,1.6481868
0.6981209,1.6505259
0.6495158,1.6521031
0.59241384,1.6528322
0.53333026,1.6539319
0.47601146,1.6476114
0.4188226,1.6407804
0.34945363,1.6334592
0.27737772,1.6303715
0.206236,1.6268421
0.13552642,1.6231337
0.06941086,1.6195608
0.003683865,1.6159604
-0.06165746,1.6123649
-0.119000465,1.6138437
-0.1734119,1.6141021
-0.22891492,1.615173
-0.28406894,1.6161708
-0.34026265,1.6135291
-0.3993829,1.6072887
-0.4580971,1.6006873
-0.5287241,1.5933828
-0.6006829,1.5842739
-0.67198694,1.575116
-0.742291,1.5648865
-0.8114171,1.5533628
-0.87915885,1.54032
-0.9272453,1.529792
-0.97638404,1.5195594
-1.0253046,1.508787
-1.0730139,1.4968277
-1.1194005,1.4836129
-1.1643525,1.4690833
-1.1967409,1.4507159
-1.2237525,1.4301113
-1.249828,1.4073937
-1.2768126,1.3817582
-1.3023404,1.3548993
-1.3263705,1.3268502
-1.3482945,1.2985513
-1.368732,1.2693312
-1.3876758,1.2392335
-1.405129,1.2083071
-1.4212046,1.1763972
-1.4358076,1.143763
-1.4489707,1.1104678
-1.4607358,1.0765761
-1.4713335,1.0415112
-1.4805932,1.0059652
-1.488581,0.97000587
-1.4953675,0.93369865
-1.4995104,0.89297163
-1.499808,0.8492509
-1.498996,0.80531645
-1.4971774,0.761235
-1.4940163,0.71104133
-1.4898286,0.66081417
-1.4874932,0.609221
-1.4873959,0.55618674
-1.48561,0.494331
-1.4788126,0.433844
-1.4727054,0.37115243
-1.4661458,0.30862114
-1.4582481,0.23737709
-1.4500773,0.16648638
-1.4417573,0.09599235
-1.4376683,0.033504542
-1.4435054,-0.022584774
-1.4499853,-0.07945979
-1.4562017,-0.13575229
-1.4609838,-0.18928298
-1.465085,-0.24455762
-1.4673597,-0.30172363
-1.4671221,-0.36212197
-1.4665933,-0.42207816
-1.4656019,-0.48402664
-1.4659312,-0.5448854
-1.4669161,-0.6046871
-1.4669586,-0.6636752
-1.467519,-0.71982396
-1.4652847,-0.7799258
-1.459034,-0.8403727
-1.4458582,-0.88940597
-1.4293041,-0.9337919
-1.4094617,-0.97513103
-1.3874934,-1.0146923
-1.3635828,-1.052652
-1.3416141,-1.0836264
-1.3181334,-1.1132575
-1.2945356,-1.1400975
-1.2720611,-1.1638025
-1.249654,-1.1846237
-1.2247202,-1.2064465
-1.1985359,-1.2267795
-1.1711342,-1.2456043
-1.1427871,-1.2627821
-1.113334,-1.2784692
-1.0828317,-1.2926781
-1.0513434,-1.3054316
-1.0186783,-1.316845
-0.9851547,-1.3268542
-0.9508489,-1.3355082
-0.9158381,-1.3428636
-0.87893903,-1.3491768
-0.8414521,-1.3542414
-0.8034595,-1.358136
-0.7650399,-1.3609433
-0.7227055,-1.3628641
-0.68004113,-1.3636984
-0.63712966,-1.3635538
-0.59404546,-1.3625364
-0.54386705,-1.3603939
-0.49158296,-1.357586
-0.43726435,-1.3534682
-0.38298357,-1.3483884
-0.3261819,-1.3444647
-0.27634633,-1.3411514
-0.22678405,-1.33746
-0.17751125,-1.3335099
-0.12698922,-1.3293247
-0.07819229,-1.3263708
